DevolucionID,VentaID,ClienteID,FechaDevolucion,Motivo
D00001,V000003,C00170,2025-12-20,Cambio de opinión
D00002,V000004,C00456,2025-02-08,Producto dañado
D00003,V000009,C00266,2025-09-07,Entrega tardía
D00004,V000010,C00975,2025-09-23,Cambio de opinión
D00005,V000015,C00146,2025-02-10,Producto incorrecto
D00006,V000023,C00167,2026-01-10,Entrega tardía
D00007,V000025,C00400,2026-01-15,Producto dañado
D00008,V000027,C01051,2025-04-02,Entrega tardía
D00009,V000028,C00126,2025-10-14,Producto incorrecto
D00010,V000034,C00570,2025-02-10,Producto defectuoso
D00011,V000035,C00346,2025-11-09,Producto incorrecto
D00012,V000045,C00087,2025-10-12,Cambio de opinión
D00013,V000046,C01109,2025-12-13,Cambio de opinión
D00014,V000049,C00835,2025-01-24,Producto defectuoso
D00015,V000051,C00691,2025-05-23,Producto defectuoso
D00016,V000053,C00734,2025-10-12,Producto dañado
D00017,V000056,C00620,2025-04-06,Cambio de opinión
D00018,V000059,C00500,2025-11-03,Producto defectuoso
D00019,V000070,C00674,2026-01-04,Entrega tardía
D00020,V000074,C00569,2026-01-25,Producto incorrecto
D00021,V000078,C00552,2025-12-24,Producto dañado
D00022,V000087,C01061,2025-07-01,Producto incorrecto
D00023,V000091,C00281,2025-05-29,Entrega tardía
D00024,V000097,C00464,2025-04-11,Entrega tardía
D00025,V000110,C00186,2025-09-13,Entrega tardía
D00026,V000116,C00032,2025-09-09,Producto dañado
D00027,V000119,C00017,2025-12-04,Entrega tardía
D00028,V000129,C00792,2025-05-04,Entrega tardía
D00029,V000131,C00066,2025-07-18,Producto dañado
D00030,V000132,C00108,2025-10-18,Producto incorrecto
D00031,V000135,C00433,2025-08-20,Producto incorrecto
D00032,V000136,C00017,2025-11-24,Producto incorrecto
D00033,V000137,C01020,2025-09-30,Cambio de opinión
D00034,V000141,C00107,2025-02-17,Producto incorrecto
D00035,V000146,C00499,2025-06-30,Entrega tardía
D00036,V000151,C00070,2025-04-29,Producto incorrecto
D00037,V000153,C00621,2025-09-02,Cambio de opinión
D00038,V000162,C00513,2025-05-02,Entrega tardía
D00039,V000165,C01198,2025-02-01,Producto defectuoso
D00040,V000167,C00524,2025-08-06,Cambio de opinión
D00041,V000170,C00388,2025-05-22,Cambio de opinión
D00042,V000183,C01034,2025-09-19,Producto incorrecto
D00043,V000184,C00530,2025-03-02,Entrega tardía
D00044,V000197,C00431,2025-04-27,Producto defectuoso
D00045,V000200,C00615,2025-05-20,Cambio de opinión
D00046,V000202,C00351,2026-01-08,Producto defectuoso
D00047,V000203,C00849,2025-11-20,Producto incorrecto
D00048,V000204,C00857,2025-08-04,Cambio de opinión
D00049,V000207,C00856,2025-12-14,Producto defectuoso
D00050,V000209,C00362,2025-11-02,Producto incorrecto
D00051,V000210,C00048,2025-12-06,Producto defectuoso
D00052,V000213,C00012,2025-01-31,Cambio de opinión
D00053,V000216,C00640,2025-04-08,Producto incorrecto
D00054,V000217,C00125,2025-04-15,Producto dañado
D00055,V000220,C00025,2025-09-12,Cambio de opinión
D00056,V000235,C01002,2025-09-12,Producto defectuoso
D00057,V000247,C00081,2025-10-04,Entrega tardía
D00058,V000260,C01116,2025-07-24,Cambio de opinión
D00059,V000264,C00118,2025-03-11,Producto incorrecto
D00060,V000276,C00771,2025-11-04,Cambio de opinión
D00061,V000277,C00566,2025-05-14,Cambio de opinión
D00062,V000280,C00794,2025-04-01,Entrega tardía
D00063,V000282,C00011,2025-09-19,Producto defectuoso
D00064,V000285,C00721,2025-07-27,Entrega tardía
D00065,V000290,C00970,2025-07-12,Producto dañado
D00066,V000296,C01137,2025-05-05,Producto dañado
D00067,V000299,C00340,2025-04-21,Producto dañado
D00068,V000312,C00431,2025-02-15,Entrega tardía
D00069,V000313,C00911,2025-11-28,Producto dañado
D00070,V000314,C01023,2025-06-28,Cambio de opinión
D00071,V000315,C00009,2025-09-28,Producto dañado
D00072,V000318,C01001,2025-02-15,Producto dañado
D00073,V000322,C00469,2025-11-20,Producto dañado
D00074,V000326,C00227,2025-06-24,Entrega tardía
D00075,V000330,C01152,2025-12-27,Producto defectuoso
D00076,V000331,C00933,2025-06-20,Cambio de opinión
D00077,V000333,C00455,2025-09-28,Producto dañado
D00078,V000337,C00857,2025-05-29,Cambio de opinión
D00079,V000345,C00463,2025-07-18,Entrega tardía
D00080,V000356,C00068,2025-05-03,Entrega tardía
D00081,V000368,C00835,2025-04-08,Producto incorrecto
D00082,V000371,C00540,2025-07-13,Entrega tardía
D00083,V000379,C00404,2025-09-20,Producto incorrecto
D00084,V000381,C00285,2025-10-05,Producto incorrecto
D00085,V000386,C00978,2025-11-11,Producto incorrecto
D00086,V000398,C00673,2025-05-17,Producto incorrecto
D00087,V000399,C00735,2025-06-23,Entrega tardía
D00088,V000400,C00807,2025-11-20,Producto defectuoso
D00089,V000403,C00385,2025-10-27,Producto dañado
D00090,V000405,C00484,2025-02-04,Producto dañado
D00091,V000413,C00320,2025-07-07,Producto incorrecto
D00092,V000419,C00954,2025-11-26,Producto incorrecto
D00093,V000422,C00659,2025-01-26,Cambio de opinión
D00094,V000428,C01073,2025-06-19,Producto defectuoso
D00095,V000431,C00684,2025-10-06,Cambio de opinión
D00096,V000433,C00192,2025-07-01,Producto dañado
D00097,V000439,C00520,2025-03-21,Entrega tardía
D00098,V000444,C00563,2025-09-16,Producto dañado
D00099,V000452,C00585,2026-01-10,Cambio de opinión
D00100,V000459,C01074,2025-04-08,Producto incorrecto
D00101,V000462,C00616,2025-09-26,Producto incorrecto
D00102,V000463,C00344,2025-12-23,Cambio de opinión
D00103,V000464,C00201,2025-10-29,Producto defectuoso
D00104,V000469,C00495,2025-04-19,Producto defectuoso
D00105,V000470,C01152,2025-05-22,Entrega tardía
D00106,V000481,C00181,2025-04-24,Entrega tardía
D00107,V000489,C01036,2025-12-29,Producto dañado
D00108,V000496,C00113,2025-08-05,Producto defectuoso
D00109,V000503,C00357,2025-10-06,Producto incorrecto
D00110,V000523,C00316,2025-10-11,Producto incorrecto
D00111,V000527,C00826,2025-02-28,Entrega tardía
D00112,V000533,C00126,2025-03-20,Producto incorrecto
D00113,V000539,C00905,2025-10-12,Entrega tardía
D00114,V000541,C00761,2025-07-15,Entrega tardía
D00115,V000542,C01121,2025-02-08,Producto dañado
D00116,V000544,C01156,2025-03-02,Producto defectuoso
D00117,V000557,C00474,2025-10-31,Cambio de opinión
D00118,V000560,C00649,2025-02-22,Producto defectuoso
D00119,V000563,C01101,2025-04-16,Producto defectuoso
D00120,V000564,C01141,2025-10-19,Entrega tardía
D00121,V000565,C00209,2025-10-07,Entrega tardía
D00122,V000571,C00805,2025-09-23,Producto defectuoso
D00123,V000579,C00072,2025-05-10,Cambio de opinión
D00124,V000587,C00697,2025-08-26,Cambio de opinión
D00125,V000588,C00897,2026-01-28,Producto dañado
D00126,V000589,C00456,2025-12-21,Producto dañado
D00127,V000591,C00362,2025-07-17,Producto dañado
D00128,V000593,C00688,2025-05-28,Entrega tardía
D00129,V000594,C00295,2025-12-01,Entrega tardía
D00130,V000601,C00909,2025-11-20,Producto defectuoso
D00131,V000605,C00688,2025-04-26,Cambio de opinión
D00132,V000606,C01090,2025-11-30,Producto incorrecto
D00133,V000608,C00299,2025-08-29,Cambio de opinión
D00134,V000615,C00063,2025-12-16,Producto defectuoso
D00135,V000616,C00950,2025-04-23,Producto dañado
D00136,V000618,C01197,2025-02-12,Cambio de opinión
D00137,V000619,C00527,2025-06-29,Producto incorrecto
D00138,V000622,C00779,2025-06-18,Producto defectuoso
D00139,V000625,C00136,2025-11-04,Entrega tardía
D00140,V000627,C00841,2025-10-31,Producto incorrecto
D00141,V000629,C00836,2025-12-14,Cambio de opinión
D00142,V000637,C00047,2025-02-08,Entrega tardía
D00143,V000640,C00188,2025-09-28,Producto defectuoso
D00144,V000645,C00439,2025-09-04,Cambio de opinión
D00145,V000652,C00641,2025-10-04,Producto defectuoso
D00146,V000655,C00900,2025-12-29,Producto incorrecto
D00147,V000658,C00835,2025-09-06,Producto incorrecto
D00148,V000659,C00709,2025-09-20,Producto dañado
D00149,V000664,C01123,2025-08-20,Producto dañado
D00150,V000665,C00923,2026-01-09,Producto incorrecto
D00151,V000669,C00775,2026-01-23,Entrega tardía
D00152,V000670,C01062,2025-03-12,Entrega tardía
D00153,V000671,C00965,2025-03-29,Producto defectuoso
D00154,V000675,C00965,2025-11-03,Producto incorrecto
D00155,V000678,C00387,2025-04-17,Producto dañado
D00156,V000679,C00918,2025-02-27,Entrega tardía
D00157,V000695,C00368,2025-11-25,Cambio de opinión
D00158,V000696,C01011,2025-03-19,Entrega tardía
D00159,V000697,C01020,2025-07-16,Producto incorrecto
D00160,V000698,C00392,2026-01-05,Producto dañado
D00161,V000703,C00221,2025-03-07,Cambio de opinión
D00162,V000706,C00489,2025-07-12,Producto incorrecto
D00163,V000707,C00402,2025-11-06,Cambio de opinión
D00164,V000716,C00462,2025-12-21,Cambio de opinión
D00165,V000724,C00978,2025-03-07,Producto defectuoso
D00166,V000734,C00323,2025-05-28,Entrega tardía
D00167,V000739,C01178,2025-04-20,Producto dañado
D00168,V000742,C00735,2025-05-07,Producto defectuoso
D00169,V000749,C00702,2025-12-27,Producto defectuoso
D00170,V000761,C00500,2025-03-03,Cambio de opinión
D00171,V000762,C00578,2025-03-04,Producto incorrecto
D00172,V000763,C00106,2025-06-16,Cambio de opinión
D00173,V000764,C00514,2025-12-23,Producto defectuoso
D00174,V000771,C00851,2025-11-04,Entrega tardía
D00175,V000774,C00253,2025-10-14,Entrega tardía
D00176,V000776,C00362,2025-12-14,Producto incorrecto
D00177,V000779,C00758,2025-07-03,Producto dañado
D00178,V000787,C00487,2025-02-16,Producto incorrecto
D00179,V000794,C00477,2025-09-17,Entrega tardía
D00180,V000797,C00924,2025-11-26,Producto incorrecto
D00181,V000798,C00253,2025-05-22,Entrega tardía
D00182,V000800,C00901,2025-08-11,Producto dañado
D00183,V000818,C00905,2025-06-01,Entrega tardía
D00184,V000820,C01053,2025-08-20,Producto dañado
D00185,V000822,C01048,2025-09-21,Entrega tardía
D00186,V000830,C00787,2025-01-22,Producto incorrecto
D00187,V000835,C01141,2025-12-11,Producto dañado
D00188,V000844,C00441,2025-03-20,Producto incorrecto
D00189,V000845,C00037,2025-12-11,Producto incorrecto
D00190,V000848,C00104,2025-12-08,Entrega tardía
D00191,V000849,C00219,2026-01-09,Producto defectuoso
D00192,V000850,C01171,2025-06-15,Entrega tardía
D00193,V000853,C00759,2025-03-18,Cambio de opinión
D00194,V000854,C00098,2025-06-10,Producto defectuoso
D00195,V000855,C00039,2025-01-21,Producto incorrecto
D00196,V000858,C00163,2025-06-04,Entrega tardía
D00197,V000868,C00944,2025-08-22,Producto incorrecto
D00198,V000869,C00757,2025-10-11,Producto incorrecto
D00199,V000871,C00718,2025-12-24,Producto defectuoso
D00200,V000878,C00815,2025-11-02,Producto dañado
D00201,V000884,C00176,2025-03-02,Producto incorrecto
D00202,V000885,C00666,2025-05-21,Cambio de opinión
D00203,V000887,C00005,2025-10-09,Cambio de opinión
D00204,V000892,C00636,2025-08-11,Producto defectuoso
D00205,V000894,C00694,2025-12-25,Producto incorrecto
D00206,V000900,C00671,2025-06-28,Producto incorrecto
D00207,V000903,C00029,2025-04-07,Producto dañado
D00208,V000907,C01013,2025-09-22,Producto incorrecto
D00209,V000912,C00197,2025-07-08,Producto dañado
D00210,V000914,C01058,2025-04-12,Cambio de opinión
D00211,V000921,C00360,2025-07-25,Cambio de opinión
D00212,V000944,C01046,2025-12-04,Cambio de opinión
D00213,V000956,C01174,2026-01-08,Producto defectuoso
D00214,V000971,C01096,2025-05-08,Producto dañado
D00215,V000974,C00426,2025-05-31,Producto defectuoso
D00216,V000976,C00507,2025-08-26,Cambio de opinión
D00217,V000989,C00179,2025-03-30,Producto defectuoso
D00218,V000996,C00895,2025-06-13,Entrega tardía
D00219,V000997,C00301,2025-12-06,Cambio de opinión
D00220,V001000,C00130,2025-12-18,Entrega tardía
D00221,V001006,C00544,2025-10-11,Entrega tardía
D00222,V001009,C01021,2025-06-19,Cambio de opinión
D00223,V001010,C00594,2025-04-07,Producto incorrecto
D00224,V001014,C01101,2025-05-14,Producto dañado
D00225,V001018,C00792,2025-06-15,Producto defectuoso
D00226,V001025,C00861,2025-04-15,Cambio de opinión
D00227,V001029,C01180,2025-05-08,Entrega tardía
D00228,V001030,C00877,2025-10-17,Entrega tardía
D00229,V001031,C01178,2025-06-29,Producto defectuoso
D00230,V001032,C00120,2025-04-10,Producto dañado
D00231,V001035,C00985,2025-07-02,Entrega tardía
D00232,V001043,C00642,2025-11-27,Entrega tardía
D00233,V001047,C00221,2025-11-27,Producto defectuoso
D00234,V001051,C00556,2025-10-10,Cambio de opinión
D00235,V001054,C00101,2025-05-19,Producto incorrecto
D00236,V001057,C00782,2025-09-21,Producto defectuoso
D00237,V001058,C00660,2025-09-23,Producto defectuoso
D00238,V001059,C01076,2025-10-27,Producto dañado
D00239,V001061,C00711,2025-09-10,Producto incorrecto
D00240,V001063,C00266,2025-08-22,Producto incorrecto
D00241,V001065,C00426,2025-07-11,Entrega tardía
D00242,V001066,C00251,2026-01-03,Cambio de opinión
D00243,V001081,C00845,2025-12-21,Producto incorrecto
D00244,V001085,C00799,2025-08-12,Producto defectuoso
D00245,V001093,C00129,2025-07-06,Cambio de opinión
D00246,V001095,C00529,2025-11-08,Producto defectuoso
D00247,V001097,C00327,2025-05-13,Entrega tardía
D00248,V001102,C00953,2025-10-12,Entrega tardía
D00249,V001108,C00742,2025-04-23,Entrega tardía
D00250,V001109,C00327,2025-07-21,Producto incorrecto
D00251,V001110,C00904,2025-09-17,Producto defectuoso
D00252,V001113,C00551,2025-09-06,Entrega tardía
D00253,V001115,C00444,2025-04-09,Cambio de opinión
D00254,V001122,C00296,2025-04-10,Producto defectuoso
D00255,V001125,C00654,2025-06-20,Producto defectuoso
D00256,V001126,C00077,2025-06-16,Producto dañado
D00257,V001144,C00616,2025-04-01,Cambio de opinión
D00258,V001147,C00791,2025-07-20,Producto dañado
D00259,V001150,C00531,2025-01-29,Cambio de opinión
D00260,V001169,C01022,2025-10-07,Producto incorrecto
D00261,V001172,C01068,2025-12-21,Producto incorrecto
D00262,V001173,C00119,2025-04-27,Producto defectuoso
D00263,V001179,C00707,2025-10-13,Entrega tardía
D00264,V001182,C00890,2025-12-05,Producto defectuoso
D00265,V001186,C01180,2025-07-28,Producto defectuoso
D00266,V001190,C00263,2025-11-02,Producto incorrecto
D00267,V001200,C00675,2025-05-26,Cambio de opinión
D00268,V001203,C00724,2026-01-16,Producto incorrecto
D00269,V001204,C00116,2025-07-22,Entrega tardía
D00270,V001205,C00704,2025-03-24,Entrega tardía
D00271,V001210,C00450,2025-11-15,Producto defectuoso
D00272,V001213,C00489,2025-04-09,Producto incorrecto
D00273,V001214,C00780,2025-10-22,Producto dañado
D00274,V001219,C00250,2025-11-06,Producto defectuoso
D00275,V001223,C01093,2025-06-12,Cambio de opinión
D00276,V001231,C00568,2025-02-09,Producto defectuoso
D00277,V001233,C01000,2025-03-21,Producto defectuoso
D00278,V001234,C00667,2025-08-02,Producto incorrecto
D00279,V001235,C00706,2025-09-16,Cambio de opinión
D00280,V001264,C01078,2025-05-17,Entrega tardía
D00281,V001271,C00679,2025-06-10,Producto incorrecto
D00282,V001272,C00753,2025-03-19,Cambio de opinión
D00283,V001276,C01137,2026-01-12,Cambio de opinión
D00284,V001277,C00995,2025-07-17,Cambio de opinión
D00285,V001294,C00474,2025-09-01,Entrega tardía
D00286,V001298,C01128,2025-08-16,Producto incorrecto
D00287,V001300,C01131,2025-10-19,Producto dañado
D00288,V001301,C00663,2025-09-11,Producto dañado
D00289,V001314,C00224,2025-09-18,Producto incorrecto
D00290,V001316,C01055,2025-12-09,Producto defectuoso
D00291,V001322,C00230,2025-02-26,Producto dañado
D00292,V001333,C00683,2025-09-29,Producto incorrecto
D00293,V001349,C00082,2025-07-21,Cambio de opinión
D00294,V001359,C00175,2025-03-03,Cambio de opinión
D00295,V001367,C00900,2025-05-08,Producto dañado
D00296,V001368,C00606,2025-01-21,Producto incorrecto
D00297,V001370,C00261,2025-09-10,Entrega tardía
D00298,V001373,C00620,2025-06-26,Cambio de opinión
D00299,V001386,C00368,2025-07-10,Producto defectuoso
D00300,V001390,C00592,2025-12-10,Cambio de opinión
D00301,V001407,C01065,2025-01-30,Producto incorrecto
D00302,V001410,C00844,2025-08-01,Cambio de opinión
D00303,V001420,C00456,2025-07-30,Producto dañado
D00304,V001430,C00576,2025-03-18,Producto defectuoso
D00305,V001432,C00003,2025-11-08,Cambio de opinión
D00306,V001441,C00270,2025-05-06,Entrega tardía
D00307,V001454,C00767,2025-08-23,Entrega tardía
D00308,V001460,C00432,2025-03-05,Producto defectuoso
D00309,V001473,C01100,2025-10-27,Producto dañado
D00310,V001482,C00569,2025-04-10,Producto defectuoso
D00311,V001486,C01185,2025-07-08,Producto dañado
D00312,V001498,C01001,2025-11-21,Producto incorrecto
D00313,V001501,C00345,2025-08-07,Entrega tardía
D00314,V001517,C01175,2025-08-20,Producto defectuoso
D00315,V001523,C00559,2025-12-17,Producto incorrecto
D00316,V001526,C00613,2025-11-11,Producto defectuoso
D00317,V001537,C00699,2025-11-06,Cambio de opinión
D00318,V001546,C00448,2025-11-14,Producto defectuoso
D00319,V001549,C00197,2025-09-13,Entrega tardía
D00320,V001553,C00013,2025-07-19,Entrega tardía
D00321,V001557,C00366,2025-03-21,Producto dañado
D00322,V001567,C00401,2025-03-16,Producto incorrecto
D00323,V001575,C00352,2025-08-15,Producto incorrecto
D00324,V001580,C00018,2025-06-10,Producto dañado
D00325,V001596,C00312,2025-01-23,Cambio de opinión
D00326,V001599,C00564,2025-03-28,Producto incorrecto
D00327,V001602,C00919,2025-08-07,Cambio de opinión
D00328,V001618,C00764,2025-02-14,Producto dañado
D00329,V001623,C00042,2025-09-11,Producto defectuoso
D00330,V001628,C00501,2025-08-01,Producto dañado
D00331,V001630,C01065,2025-06-18,Producto dañado
D00332,V001633,C00593,2025-07-06,Producto incorrecto
D00333,V001641,C00019,2025-07-04,Entrega tardía
D00334,V001643,C00304,2025-07-14,Entrega tardía
D00335,V001645,C01155,2025-09-11,Producto incorrecto
D00336,V001651,C00189,2025-02-28,Producto defectuoso
D00337,V001654,C00557,2025-01-31,Producto defectuoso
D00338,V001657,C00283,2025-11-09,Cambio de opinión
D00339,V001660,C01069,2025-08-25,Entrega tardía
D00340,V001672,C00271,2025-02-13,Producto incorrecto
D00341,V001679,C00433,2025-09-08,Producto dañado
D00342,V001681,C00505,2025-09-02,Producto incorrecto
D00343,V001688,C01159,2025-11-01,Producto incorrecto
D00344,V001709,C00278,2025-05-02,Entrega tardía
D00345,V001712,C00638,2025-02-06,Entrega tardía
D00346,V001716,C00873,2025-06-23,Producto incorrecto
D00347,V001717,C00890,2025-10-03,Producto dañado
D00348,V001718,C01050,2025-10-09,Producto dañado
D00349,V001719,C00033,2026-01-08,Entrega tardía
D00350,V001720,C00562,2025-10-29,Producto dañado
D00351,V001722,C00939,2025-11-18,Producto defectuoso
D00352,V001726,C00033,2025-09-14,Cambio de opinión
D00353,V001730,C00263,2025-06-13,Producto incorrecto
D00354,V001731,C00220,2025-06-10,Producto dañado
D00355,V001732,C00083,2025-07-10,Producto incorrecto
D00356,V001737,C01192,2025-10-24,Producto defectuoso
D00357,V001738,C00134,2025-08-07,Producto incorrecto
D00358,V001740,C00285,2025-06-21,Producto incorrecto
D00359,V001751,C00244,2025-10-02,Producto dañado
D00360,V001756,C01019,2025-08-09,Producto incorrecto
D00361,V001758,C00994,2025-07-13,Producto defectuoso
D00362,V001772,C00265,2025-04-17,Producto defectuoso
D00363,V001774,C00983,2025-06-24,Producto incorrecto
D00364,V001779,C00326,2025-12-05,Cambio de opinión
D00365,V001783,C00128,2025-08-09,Producto dañado
D00366,V001784,C01196,2025-04-25,Cambio de opinión
D00367,V001785,C00188,2025-11-02,Producto defectuoso
D00368,V001790,C01056,2025-04-20,Cambio de opinión
D00369,V001791,C00201,2025-05-15,Cambio de opinión
D00370,V001796,C00375,2025-10-21,Entrega tardía
D00371,V001797,C00269,2025-03-27,Producto defectuoso
D00372,V001798,C00240,2025-10-15,Producto dañado
D00373,V001807,C00097,2025-12-04,Producto dañado
D00374,V001813,C00540,2025-09-04,Entrega tardía
D00375,V001816,C01045,2025-05-04,Producto incorrecto
D00376,V001828,C00372,2025-06-25,Producto dañado
D00377,V001853,C00748,2025-09-19,Entrega tardía
D00378,V001855,C00920,2025-11-11,Cambio de opinión
D00379,V001858,C00228,2025-06-07,Producto dañado
D00380,V001860,C00108,2025-03-06,Producto incorrecto
D00381,V001867,C00004,2025-05-30,Cambio de opinión
D00382,V001869,C01063,2025-04-02,Producto dañado
D00383,V001873,C00389,2025-09-30,Entrega tardía
D00384,V001886,C00793,2025-08-15,Cambio de opinión
D00385,V001887,C00194,2026-01-09,Producto dañado
D00386,V001890,C01045,2025-03-25,Producto defectuoso
D00387,V001895,C00428,2025-07-27,Entrega tardía
D00388,V001897,C00476,2025-02-17,Producto defectuoso
D00389,V001899,C00868,2025-07-04,Cambio de opinión
D00390,V001901,C00494,2025-02-14,Cambio de opinión
D00391,V001903,C00543,2025-07-01,Producto dañado
D00392,V001908,C00345,2025-09-14,Producto dañado
D00393,V001913,C00559,2025-09-20,Entrega tardía
D00394,V001914,C00191,2025-01-20,Entrega tardía
D00395,V001918,C00631,2025-07-09,Entrega tardía
D00396,V001924,C00763,2025-12-14,Producto dañado
D00397,V001934,C00350,2025-06-11,Producto defectuoso
D00398,V001935,C00520,2025-01-29,Producto defectuoso
D00399,V001938,C00169,2025-11-13,Cambio de opinión
D00400,V001939,C01010,2025-04-11,Entrega tardía
D00401,V001944,C00699,2025-05-15,Producto defectuoso
D00402,V001949,C00913,2025-09-30,Producto incorrecto
D00403,V001957,C00811,2025-05-13,Producto defectuoso
D00404,V001958,C00218,2025-09-04,Producto defectuoso
D00405,V001960,C00828,2025-05-18,Entrega tardía
D00406,V001962,C00918,2025-03-02,Entrega tardía
D00407,V001964,C00198,2025-12-03,Producto defectuoso
D00408,V001966,C01178,2025-08-03,Producto incorrecto
D00409,V001967,C00789,2025-12-21,Producto dañado
D00410,V001971,C00241,2025-03-22,Cambio de opinión
D00411,V001990,C00726,2025-11-11,Producto defectuoso
D00412,V002000,C00901,2025-02-18,Producto defectuoso
D00413,V002002,C00177,2025-10-08,Producto dañado
D00414,V002007,C01047,2025-10-20,Entrega tardía
D00415,V002008,C00496,2025-02-03,Producto dañado
D00416,V002011,C00178,2025-08-10,Entrega tardía
D00417,V002018,C00853,2025-05-29,Producto incorrecto
D00418,V002028,C00912,2025-02-17,Cambio de opinión
D00419,V002029,C00881,2025-06-23,Producto dañado
